schema_version,tic,sector,cadence_s,n_epochs,var_amplitude_ppt,rotation_period_d,rotation_power,rotation_systematic,n_flares,is_dipper,n_dips,var_class,tool_version
1,100010286,15,120,17746,0.9771937608718871,5.919297879040073,0.22707088913013254,False,0,False,0,rotator,0.2.0
1,100014131,15,120,17748,0.7096540722147844,,0.008631236648911545,False,0,False,0,quiet,0.2.0
1,1001173087,15,120,15240,0.6399744272232055,,0.008961412388693954,False,0,False,0,quiet,0.2.0
1,106222137,15,120,13180,55.39220966077475,,0.2907185203901006,True,6,False,0,flaring,0.2.0
1,10747057,15,120,15719,0.6166447877883912,,0.050102832713925245,False,0,False,0,quiet,0.2.0
1,10849428,15,120,13211,10.057725691795348,,0.005994290255313207,False,0,False,0,variable,0.2.0
1,10988057,15,120,13212,5.751728188991547,,0.0007599562727369712,False,0,False,0,variable,0.2.0
1,1102418286,15,120,14455,227.42342272996902,,0.0015009412686371687,False,0,False,0,variable,0.2.0
1,1102455399,15,120,13304,152.00334238419956,,0.003484001284558866,False,0,False,0,variable,0.2.0
1,1102550101,15,120,17745,1.3909413814544678,5.208914462865368,0.3192834026230842,False,0,False,0,rotator,0.2.0
1,1102628617,15,120,17747,434.3130512237548,,0.00145699472977132,False,0,False,0,variable,0.2.0
1,11205225,15,120,13212,5.104949283599853,,0.01131368704414442,False,0,False,0,variable,0.2.0
1,11215259,15,120,13211,52.097824323177335,,0.049534244228245365,False,0,False,0,variable,0.2.0
1,11471308,15,120,13212,46.3888643748245,,0.0009048239478187848,False,0,False,0,variable,0.2.0
1,116628398,15,120,13365,0.6356443047523499,,0.04926720797836668,False,0,False,0,quiet,0.2.0
1,11696250,15,120,13210,4.894010460376739,0.14673480652867435,0.34236760228377083,False,0,False,0,rotator,0.2.0
1,117071521,15,120,13366,0.648192822933197,3.176153428158065,0.2245506013651122,False,0,False,0,rotator,0.2.0
1,117072398,15,120,12919,5.211434948444366,,0.027084097197663498,False,0,False,0,variable,0.2.0
1,11708527,15,120,13186,15.574787289655587,,0.0060953039983635444,False,0,False,0,variable,0.2.0
1,117144561,15,120,13365,1.748397409915924,6.201068257621446,0.4642610597867119,False,0,False,0,rotator,0.2.0
1,117151600,15,120,13367,3.681841278076172,,0.0034669068547856638,False,0,False,0,quiet,0.2.0
1,117229176,15,120,13369,1.53569118976593,,0.006360185771826078,False,0,False,0,quiet,0.2.0
1,117234769,15,120,13364,0.9202835798263549,,0.29837130100410725,True,0,True,8,dipper,0.2.0
1,117292185,15,120,13359,1.2177364826202393,2.100357231202235,0.2856471476503619,False,0,False,0,rotator,0.2.0
1,117292452,15,120,13358,0.7718222149663503,2.2071549686733634,0.17143240790384168,False,0,False,0,rotator,0.2.0
1,117387189,15,120,12911,2.508819937705993,11.838373612140563,0.19472592893119098,False,0,False,0,rotator,0.2.0
1,117538202,15,120,13360,0.36951849046239316,,0.02494814266135554,False,0,False,0,quiet,0.2.0
1,117540364,15,120,13353,0.2924158215522766,,0.010334379903292008,False,0,False,0,quiet,0.2.0
1,117542316,15,120,12718,2.314008680403491,,0.006449532406038792,False,0,False,0,quiet,0.2.0
1,11895653,15,120,17744,0.21889210939407347,6.853841163030582,0.11621326768421618,False,0,False,0,rotator,0.2.0
1,11918748,15,120,13198,45.48334132432937,1.5545981006936767,0.9208835384531292,False,0,False,0,rotator,0.2.0
1,11940810,15,120,17747,0.51307532787323,,0.0012302544754281518,False,0,False,0,quiet,0.2.0
1,12029932,15,120,13211,70.7253926038742,5.228772719041889,0.8696910655632293,False,0,False,0,rotator,0.2.0
1,12145778,15,120,13202,0.4855481352075378,,0.07313404162272295,False,0,False,0,quiet,0.2.0
1,12249117,15,120,13191,13.699800539016723,0.3043394295661502,0.883132426085756,False,0,False,0,rotator,0.2.0
1,12494325,15,120,13211,7.773895382881164,,0.022165283045237197,False,0,False,0,variable,0.2.0
1,12494582,15,120,13193,24.967662906646726,0.8336246739496395,0.5429085614279948,False,0,True,12,dipper,0.2.0
1,125397253,15,120,12640,0.5569509565830231,,0.02765623733266548,False,0,False,0,quiet,0.2.0
1,125602276,15,120,12471,6.2188511967658995,7.468479310443398,0.10612357714085613,False,0,False,0,rotator,0.2.0
